"Designator","Mid X","Mid Y","Layer","Rotation"
"R58","202.654mm","-83.5295mm","top","270.0"
"R56","162.395mm","-83.593mm","top","270.0"
"R54","162.84mm","-63.146mm","top","270.0"
"R52","201.13mm","-83.5295mm","top","270.0"
"R48","203.802mm","-147.22mm","top","270.0"
"R46","201.834mm","-147.244mm","top","270.0"
"R44","149.225mm","-93.8475mm","top","180.0"
"R43","149.225mm","-92.2655mm","top","180.0"
"R40","163.792mm","-71.7185mm","top","90.0"
"R39","163.538mm","-51.3985mm","top","90.0"
"R37","202.59mm","-71.655mm","top","90.0"
"R36","162.268mm","-71.7185mm","top","90.0"
"R34","162.014mm","-51.3985mm","top","90.0"
"R30","201.066mm","-71.655mm","top","90.0"
"R28","203.739mm","-135.408mm","top","270.0"
"R26","205.713mm","-135.408mm","top","270.0"
"R24","174.5864mm","-95.885mm","top","270.0"
"R23","172.1104mm","-95.925mm","top","270.0"
"R42","196.024mm","-95.9485mm","top","270.0"
"R50","201.066mm","-63.273mm","top","270.0"
"R41","193.548mm","-95.9485mm","top","270.0"
"R57","202.59mm","-63.2495mm","top","270.0"
"R47","224.122mm","-147.22mm","top","270.0"
"R45","222.218mm","-147.22mm","top","270.0"
"R22","217.574mm","-90.678mm","top","180.0"
"R32","201.066mm","-51.3985mm","top","90.0"
"R21","217.551mm","-92.2655mm","top","0.0"
"R38","202.59mm","-51.3985mm","top","90.0"
"R27","226.022mm","-135.409mm","top","90.0"
"R25","224.122mm","-135.409mm","top","90.0"
"R31","217.043mm","-51.6255mm","top","0.0"
"R19","219mm","-109.2962mm","top","270.0"
"R18","226.05mm","-101.15mm","top","180.0"
"R17","225.044mm","-117.6528mm","top","0.0"
"R20","218.9988mm","-103.9749mm","top","90.0"
"R16","149.543mm","-59.971mm","top","270.0"
"R15","186.848mm","-83.497mm","top","270.0"
"R14","223.896mm","-66.352mm","top","0.0"
"R13","223.896mm","-64.8175mm","top","0.0"
