*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Axoctrl-rev3
*Date=15:54:00
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
115;;;13.9567;-12.4116;0;Bottom;TXT1
116;;THT;29.2072;-10.3491;0;Bottom;*12
117;;;31.7481;-28.7105;0;Bottom;logo
118;;;130.805;-45.1115;-90;Bottom;TXT1
119;;;47.3841;-42.0543;0;Bottom;TXT1
120;;;93.9924;-23.2139;0;Bottom;logo
121;;THT;34.2872;-5.26912;0;Bottom;*10
122;;;105.57;-51.6967;0;Bottom;logo
123;;;57.212;-27.601;0;Bottom;logo
124;;;97.85;-45.1912;-90;Bottom;TXT1
125;;;107.982;-45.0125;-90;Bottom;TXT1
126;;;31.8174;-17.2777;0;Bottom;logo
127;;THT;146.037;-8.824;-90;Bottom;P9
128;;;138.476;-45.7626;-90;Bottom;TXT1
129;;;68.659;-20.0226;0;Bottom;logo
130;;THT;82.5472;-76.3891;0;Bottom;1
131;;;58.4697;-65.6107;0;Bottom;logo
132;;;43.1771;-5.26921;0;Bottom;Hole33
133;;;82.5167;-45.1081;-90;Bottom;TXT1
134;;;57.1471;-28.1292;0;Bottom;Hole34
135;;;16.2677;-56.3862;-90;Bottom;TXT2
136;;THT;29.2072;-26.8591;0;Bottom;*3
137;;;3.80735;-50.9891;0;Bottom;Hole13
138;;;146.025;-49.1561;-90;Bottom;TXT1
139;;;118.06;-45.133;-90;Bottom;TXT1
140;;3 mm [THT];13.9673;-8.50014;0;Bottom;LED Y
141;;;14.8106;-63.7262;0;Bottom;logo
142;;;94.0263;-19.9399;0;Bottom;logo
143;;;3.68747;-27.3464;90;Bottom;TXT1
144;;;11.4717;-38.9624;0;Bottom;logo
145;;;17.7599;-57.5953;-90;Bottom;TXT2
146;;;49.9626;-1.34801;0;Bottom;TXT1
147;;THT;101.597;-42.0991;90;Bottom;JP2
148;;;95.2957;-80.1629;0;Bottom;logo
149;;;133.441;-49.5845;0;Bottom;logo
150;;;57.2436;-45.1671;-90;Bottom;TXT1
151;;;110.488;-45.021;-90;Bottom;TXT1
152;;;15.3619;-68.8159;0;Bottom;logo
153;;THT;107.947;-76.3891;0;Bottom;1
154;;THT;16.5072;-31.9391;0;Bottom;*8
155;;;156.211;-80.958;0;Bottom;Hole17
156;;;44.3816;-18.0856;0;Bottom;logo
157;;;119.391;-7.12448;0;Bottom;logo
158;;THT;146.037;-32.954;-90;Bottom;P6
159;;;90.179;-45.1556;-90;Bottom;TXT1
160;;;68.6971;-23.2241;0;Bottom;logo
